genotype,Pop,Latitude,Longitude,Ac,Li,Ac_CNV,Li_CNV,CNH,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9
ANC_002,ANC,35.56833,-82.568333,1,0,2,0,0,1207.4924621582031,30.544999599456787,-0.057499999180436134,20.925000190734863,118.81000137329102,55615.5,39055.5,82.75,166.25,7,40.36999988555908,48.96749973297119,5091.5899658203125,161.68249893188477,161.68249893188477,184.375,13.228124856948853,22.487500190734863,3.6000001430511475,1210,123,80,12.274349689483643,328.75,262.25,326,293,13.302083492279053,39.91629981994629,764.155517578125,29.725000381469727,-3.5999999046325684,33.32499885559082,12.97083330154419,13.854166746139526
ANC_004,ANC,35.578056,-82.581667,0,0,0,0,0,1200.660009765625,30.404000091552735,-0.05600000023841858,20.90999984741211,118.89200134277344,55116,38761.2,81.6,165.4,7,40.077999114990234,53.32400131225586,5069.32392578125,160.84200134277344,160.84200134277344,181.15,13.167499923706055,22.41333351135254,3.559999942779541,1210.8,123,79.2,12.35389060974121,329.6,261.8,326.2,293.2,13.331666374206543,40.0350341796875,762.9213500976563,29.640000534057616,-3.6599999904632567,33.29999923706055,12.900000190734863,13.796666526794434
ANC_005,ANC,35.578056,-82.581944,1,0,1,0,0,1197.8250122070312,30.730000019073486,-0.05250000022351742,20.887499809265137,119.2075023651123,54909,38637,81.25,165,7,39.992499351501465,52.435001373291016,5055.857421875,160.4175033569336,160.4175033569336,179.9375,13.154166460037231,22.40000009536743,3.549999952316284,1211.25,123,79.25,12.3519606590271,329.75,262,326.25,293.25,13.333333015441895,40.0400390625,762.8664855957031,29.625000476837158,-3.675000011920929,33.29999923706055,12.883333444595337,13.78333306312561
ANC_006,ANC,35.577778,-82.561389,1,0,1,0,0,1209.0350036621094,29.480000019073486,-0.062499999068677425,20.96250057220459,118.09749984741211,55750.5,39143.25,82.75,166.5,7,40.38749980926514,52.885000228881836,5102.702392578125,161.9574966430664,161.9574966430664,184.5625,13.220833539962769,22.454166889190674,3.600000023841858,1208.75,122.75,79.5,12.27417802810669,328.5,261.5,325.75,292.5,13.304166555404663,39.98248863220215,762.9271087646484,29.67500066757202,-3.5999999046325684,33.27499961853027,12.975000143051147,11.295833349227905
ANC_007,ANC,35.5775,-82.55422,0,0,0,0,0,1200.6275024414062,29.889999866485596,-0.0499999993480742,20.862500190734863,119.68000030517578,55143,38775.375,81.5,165,7,40.15000057220459,48.72000026702881,5064.869873046875,160.7599983215332,160.7599983215332,180.8125,13.147916555404663,22.358333587646484,3.5416666865348816,1215.25,123.5,80,12.297585010528564,330.5,263,327.25,293.25,13.287499904632568,39.99258232116699,761.3692474365234,29.575000286102295,-3.649999976158142,33.22499942779541,12.90833330154419,8.674999713897705
ANC_008,ANC,35.566389,-82.573333,0,0,0,0,0,1200.8999938964844,30.802499771118164,-0.05249999929219484,20.862500190734863,119.48250198364258,55147.5,38768.625,81.75,165.25,7,40.144999504089355,44.81999969482422,5063.4674072265625,160.75749969482422,160.75749969482422,181.8125,13.190624713897705,22.445833683013916,3.5791667103767395,1212,123.25,79.75,12.299401998519897,329.75,262.5,326.25,293.5,13.31458330154419,40.013864517211914,763.4988555908203,29.67500066757202,-3.5999999046325684,33.27499961853027,12.916666746139526,13.820833206176758
ATX_001,ATX,30.285951,-97.734002,1,1,4,3,1,1452.7849731445312,43.76249980926514,-0.4375,19.5625,87.72999954223633,86494.5,86494.5,156.25,230,11,62.507500648498535,78.94999885559082,4892.5799560546875,181.05249786376953,157.33250045776367,401.3125,20.067708015441895,28.395832538604736,11.020833253860474,827.75,121.25,46,34.235328674316406,285.25,151,197.75,151.75,11.864583492279053,38.05791473388672,706.353759765625,35.07499885559082,3.9000000953674316,31.174999237060547,23.687500476837158,12.741666793823242
ATX_002,ATX,30.285951,-97.734002,1,1,4,4,1,1452.7849731445312,43.76249980926514,-0.4375,19.5625,87.72999954223633,86494.5,86494.5,156.25,230,11,62.507500648498535,78.94999885559082,4892.5799560546875,181.05249786376953,157.33250045776367,401.3125,20.067708015441895,28.395832538604736,11.020833253860474,827.75,121.25,46,34.235328674316406,285.25,151,197.75,151.75,11.864583492279053,38.05791473388672,706.353759765625,35.07499885559082,3.9000000953674316,31.174999237060547,23.687500476837158,12.741666793823242
ATX_004,ATX,30.285951,-97.734002,1,1,4,2,1,1452.7849731445312,43.76249980926514,-0.4375,19.5625,87.72999954223633,86494.5,86494.5,156.25,230,11,62.507500648498535,78.94999885559082,4892.5799560546875,181.05249786376953,157.33250045776367,401.3125,20.067708015441895,28.395832538604736,11.020833253860474,827.75,121.25,46,34.235328674316406,285.25,151,197.75,151.75,11.864583492279053,38.05791473388672,706.353759765625,35.07499885559082,3.9000000953674316,31.174999237060547,23.687500476837158,12.741666793823242
ATX_005,ATX,30.285951,-97.734002,1,1,5,2,1,1452.7849731445312,43.76249980926514,-0.4375,19.5625,87.72999954223633,86494.5,86494.5,156.25,230,11,62.507500648498535,78.94999885559082,4892.5799560546875,181.05249786376953,157.33250045776367,401.3125,20.067708015441895,28.395832538604736,11.020833253860474,827.75,121.25,46,34.235328674316406,285.25,151,197.75,151.75,11.864583492279053,38.05791473388672,706.353759765625,35.07499885559082,3.9000000953674316,31.174999237060547,23.687500476837158,12.741666793823242
ATX_006,ATX,30.285951,-97.734002,1,1,2,2,1,1452.7849731445312,43.76249980926514,-0.4375,19.5625,87.72999954223633,86494.5,86494.5,156.25,230,11,62.507500648498535,78.94999885559082,4892.5799560546875,181.05249786376953,157.33250045776367,401.3125,20.067708015441895,28.395832538604736,11.020833253860474,827.75,121.25,46,34.235328674316406,285.25,151,197.75,151.75,11.864583492279053,38.05791473388672,706.353759765625,35.07499885559082,3.9000000953674316,31.174999237060547,23.687500476837158,12.741666793823242
ATX_007,ATX,30.285951,-97.734002,1,1,5,4,1,1452.7849731445312,43.76249980926514,-0.4375,19.5625,87.72999954223633,86494.5,86494.5,156.25,230,11,62.507500648498535,78.94999885559082,4892.5799560546875,181.05249786376953,157.33250045776367,401.3125,20.067708015441895,28.395832538604736,11.020833253860474,827.75,121.25,46,34.235328674316406,285.25,151,197.75,151.75,11.864583492279053,38.05791473388672,706.353759765625,35.07499885559082,3.9000000953674316,31.174999237060547,23.687500476837158,12.741666793823242
ATX_008,ATX,30.285951,-97.734002,1,1,3,4,1,1452.7849731445312,43.76249980926514,-0.4375,19.5625,87.72999954223633,86494.5,86494.5,156.25,230,11,62.507500648498535,78.94999885559082,4892.5799560546875,181.05249786376953,157.33250045776367,401.3125,20.067708015441895,28.395832538604736,11.020833253860474,827.75,121.25,46,34.235328674316406,285.25,151,197.75,151.75,11.864583492279053,38.05791473388672,706.353759765625,35.07499885559082,3.9000000953674316,31.174999237060547,23.687500476837158,12.741666793823242
ATX_009,ATX,30.285706,-97.730922,1,1,3,4,1,1451.727978515625,43.6379997253418,-0.4360000014305115,19.54000015258789,87.91999969482421,86436,86436,156.2,229.6,11,62.45800018310547,78.89999847412109,4888.301953125,180.9019989013672,157.22000122070312,400.9,20.074999618530274,28.40333251953125,11.026666641235352,827.2,121.2,46,34.24073181152344,285,150.8,197.8,151.6,11.876666831970216,38.090563201904295,706.3773193359375,35.07999877929687,3.9000000953674316,31.179999160766602,23.696667098999022,12.750000190734863
ATX_015,ATX,30.285175,-97.729543,1,1,3,4,1,1450.8149719238281,43.547499656677246,-0.4350000023841858,19.52500009536743,88.09000015258789,86391,86391,156,229.5,11,62.39750003814697,78.81499862670898,4887.00244140625,180.84249877929688,157.12250137329102,400.625,20.076041221618652,28.404165744781494,11.02916669845581,827.25,121,46,34.178114891052246,284.75,150.75,198,151.5,11.881250143051147,38.1113338470459,706.2403869628906,35.07499885559082,3.9000000953674316,31.174999237060547,23.700000286102295,12.754166841506958
ATX_016,ATX,30.285175,-97.729543,1,1,1,3,1,1450.8149719238281,43.547499656677246,-0.4350000023841858,19.52500009536743,88.09000015258789,86391,86391,156,229.5,11,62.39750003814697,78.81499862670898,4887.00244140625,180.84249877929688,157.12250137329102,400.625,20.076041221618652,28.404165744781494,11.02916669845581,827.25,121,46,34.178114891052246,284.75,150.75,198,151.5,11.881250143051147,38.1113338470459,706.2403869628906,35.07499885559082,3.9000000953674316,31.174999237060547,23.700000286102295,12.754166841506958
BAL_005,BAL,34.056278,-86.762583,1,1,4,4,1,1343.114990234375,28.47000026702881,0.05999999865889549,21.475000381469727,145.72999954223633,68436,61239.75,105,196,9,47.20249938964844,132.30249786376953,5357.8499755859375,175.52000427246094,63.91499900817871,270.625,15.791666984558105,25.225000381469727,5.962499976158142,1442.5,165,85,18.74832534790039,432,282,313.25,403.25,13.704166412353516,40.36576843261719,780.7870330810547,32.599998474121094,-1.3499999642372131,33.94999885559082,7.6000001430511475,21.40000009536743
BAL_013,BAL,34.0725,-86.781944,0,0,0,0,0,1337.1300048828125,27.65250015258789,0.07000000029802322,21.47499990463257,146.75,67752,60658.125,103.5,194.25,9,46.85000038146973,131.72750091552734,5346.1824951171875,174.9900016784668,63.56999969482422,266.375,15.684375047683716,25.079166889190674,5.883333444595337,1455,166,85.75,18.481370449066162,435,286,315.5,407,13.610416889190674,40.2675895690918,777.5902404785156,32.42500114440918,-1.3749999701976776,33.800002098083496,7.508333206176758,21.274999618530273
BAL_018,BAL,33.501772,-86.7741557,0,0,0,0,0,1311.9850158691406,27.059999465942383,0.08500000275671482,21.3125,150.78250122070312,70294.5,65915.25,107.5,205,9,47.91749954223633,127.01499938964844,5097.8050537109375,169.45499801635742,64.30000019073486,282.9375,16.744791984558105,25.87083339691162,7.083333253860474,1453,168.75,83.75,18.498350620269775,434.25,284,334.75,393,13.106250047683716,39.89720821380615,761.5711364746094,32.75,-0.10000000149011612,32.84999942779541,8.745833396911621,22.175000190734863
